y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio,fdval
2008,Tararu Stream,4,5,1101.41,138.2767,2365.1867,4,2,2.3333,0,168.9123
2008,Waiomu Stream,4,5,1121.45,140.1575,2368.43,4,2,2.75,0,168.9123
2008,Mangahowhi Stream,1.625,2.875,1018.015,115.425,2313.235,1.5885,1.5425,3,0,86.617
2008,Mangahowhi River,2,1.73,912.32,104.97,2301.94,2,1.908,2,1,43.0287
2008,Mangarangiora Stream,1.6,2.62,1043.06,118.16,2292.09,1.908,1.908,2,1,553.3294
2008,Mangawhero Stream,2,1,871.78,100.51,2296.34,2.041,1.227,0,1,269.0739
2008,Marahau River,1,2.95,1192.22,124.81,2411.97,1,1,1,0,276.1451
2008,Manawatu River,1.8,0.9,1063.79,129,2300.95,1.832,1.832,5.5,1,419.2709
2008,Tiritea Stream,2,1,1071.54,128.79,2304.24,2,2,4,1,162.8187
2008,Cave Stream,3,2,833.6267,97.65,2285.86,3,1,1.6667,0.3333,392.5399
2008,Hinatua River tributary,3,3,740.3867,111.4033,2189.7033,3,1,1.3333,0,293.6408
2008,Saltwater forest pool,2.9967,3,730.9133,110.5317,2188.1717,2.995,1,0.1667,0.8333,424.757
2008,Hinatua River tribuatary,3,3,748,112,0,3,1,1,0,955.0379
2008,Taharua River,1.3,2.7,891.1,96,2330.44,1.162,1,0,1,841.0189
2008,Te Apiti Stream,1.35,2.96,1228.44,131.38,2337.14,1.479,1.805,1,0,66.4167
2008,Waikoau Stream,1.94,1.26,1132.36,109.18,2361.36,1.818,1.818,0,0,392.7222
2008,Ahuriri Lagoon tributary,2,3,1373.72,137.67,2376.56,2,2.917,2.3333,1,429.7778
2008,Doctors Stream tributary,4,1,1319.52,126,2400.93,4,2,1,0,311.3151
2008,Moutere River tributary,1.94,2.5325,1200.9975,123.085,2407.3725,1.9518,1.4762,2.75,0,325.9981
2008,Unnamed stream Waimea Inlet,1.564,3.083,1192.304,123.184,2397.561,1.5024,1.7299,2.9,0.1,292.7288
2008,Moutere Inlet tributary,1.8767,2.5633,1202.78,124.3,2408.4467,1.8273,1.4137,2.6667,0,1111.7912
2008,Waimea Inlet tributary,1.67,2.66,1211.5,124.32,2403.64,1.364,1.182,3,0,1661.7502
2008,Lees Creek,3.34,3.64,1020.17,78.4,2352.72,3.328,1.003,0,1,862.4843
2008,Rainbow River tributary,3.27,3.71,950.7,64.67,2348.7,3.237,1.258,1,1,1205.1213
2008,Rainbow River,2.87,2.335,1093.23,79.91,2362.05,3.2225,1.34,0.5,0.5,392.5399
2008,Judges Creek,3.06,3.94,1083.98,72.29,2364.07,2.97,1.032,0,1,293.6408
2008,Wairau River,3.91,3.09,1058.47,67.845,2360.44,3.366,1.2405,1,1,571.2561
2008,Island Gully,3.34,3.66,1005.69,61.55,2354.33,3.357,1.184,1,1,512.634
2008,Ferrer Creek,3,2,1197.22,125.26,2415,3,2,2.5,0,122.6029
2008,Motupipi River,1.408,2.514,1063.39,126.948,2363.316,1.5258,1.679,4.2,0,207.0297
2008,Motupipi River tributary,2.7425,3.2675,1066.0125,126.45,2364.4625,2.9542,2.211,3,0.25,238.5645
2008,Unnamed stream Wainui Inlet,1.05,3.2,1057.124,126.176,2361.558,1.0334,1.0114,2,0,657.3557
2008,Ellis Creek,3.634,3.282,1064.044,126.96,2362.698,3.6694,2.2264,4,0,64.1062
