m,y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio
3.0,2008,Tararu Stream,4.0,5.0,1111.89,139.98,2365.85,4.0,2.0,5,0
3.0,2008,Tararu Stream,4.0,5.0,1111.89,139.98,2365.85,4.0,2.0,2,0
3.0,2008,Tararu Stream,4.0,5.0,1080.45,134.87,2363.86,4.0,2.0,0,0
3.0,2008,Waiomu Stream,4.0,5.0,1126.51,141.02,2368.81,4.0,2.0,3,0
3.0,2008,Waiomu Stream,4.0,5.0,1126.51,141.02,2368.81,4.0,2.0,4,0
3.0,2008,Waiomu Stream,4.0,5.0,1126.51,141.02,2368.81,4.0,2.0,2,0
3.0,2008,Waiomu Stream,4.0,5.0,1106.27,137.57,2367.29,4.0,2.0,2,0
2.0,2008,Mangahowhi Stream,2.0,1.73,912.32,104.97,2301.94,2.0,1.908,2,0
2.0,2008,Mangahowhi River,2.0,1.73,912.32,104.97,2301.94,2.0,1.908,2,1
3.0,2008,Mangarangiora Stream,1.6,2.62,1043.06,118.16,2292.09,1.908,1.908,2,1
2.0,2008,Mangawhero Stream,2.0,1.0,871.78,100.51,2296.34,2.041,1.227,0,1
3.0,2008,Marahau River,1.0,2.95,1192.22,124.81,2411.97,1.0,1.0,1,0
2.0,2008,Manawatu River,1.84,0.92,1056.16,129.0,2298.4,1.951,1.951,5,1
2.0,2008,Manawatu River,1.76,0.88,1071.42,129.0,2303.5,1.713,1.713,6,1
2.0,2008,Tiritea Stream,2.0,1.0,1071.54,128.79,2304.24,2.0,2.0,4,1
4.0,2008,Cave Stream,3.0,2.0,845.93,99.41,2286.55,3.0,1.0,2,0
11.0,2009,Saltwater Forest,2.99,3.0,727.88,110.22,2187.83,2.985,1.0,0,1
11.0,2009,Saltwater Forest,3.0,3.0,731.16,110.62,2188.11,3.0,1.0,1,0
11.0,2009,Saltwater Forest,2.99,3.0,727.88,110.22,2187.83,2.985,1.0,1,1
11.0,2010,Unnamed pool Saltwater forest,3.0,3.0,736.43,111.37,2188.5,3.0,1.0,0,1
11.0,2010,Unnamed pond Saltwater forest,3.0,3.0,746.4,111.9,2189.87,3.0,1.0,1,0
11.0,2010,Unnamed ditch Saltwater forest,3.0,3.0,731.16,110.62,2188.11,3.0,1.0,2,0
11.0,2010,Unnamed pond Saltwater forest,2.99,3.0,727.88,110.22,2187.83,2.985,1.0,0,1
11.0,2010,Unnamed pond Saltwater Lagoon,3.0,3.0,733.81,110.61,2188.81,3.0,1.0,1,0
11.0,2010,Unnamed pond Saltwater forest,3.0,3.0,731.16,110.62,2188.11,3.0,1.0,0,1
3.0,2008,Hinatua River tributary,3.0,3.0,756.19,112.98,2192.19,3.0,1.0,1,0
3.0,2008,Hinatua River tributary,3.0,3.0,731.16,110.62,2188.11,3.0,1.0,2,0
3.0,2008,Hinatua River tributary,3.0,3.0,733.81,110.61,2188.81,3.0,1.0,1,0
10.0,2008,Saltwater forest pool,3.0,3.0,736.43,111.37,2188.5,3.0,1.0,0,1
10.0,2008,Saltwater forest pool,3.0,3.0,731.16,110.62,2188.11,3.0,1.0,1,0
10.0,2008,Saltwater forest pool,2.99,3.0,727.88,110.22,2187.83,2.985,1.0,0,1
10.0,2008,Saltwater forest pool,2.99,3.0,727.88,110.22,2187.83,2.985,1.0,0,1
10.0,2008,Saltwater forest pool,3.0,3.0,733.81,110.61,2188.81,3.0,1.0,0,1
10.0,2008,Saltwater forest pool,3.0,3.0,728.32,110.15,2187.95,3.0,1.0,0,1
10.0,2008,Hinatua River tribuatary,3.0,3.0,748.0,112.0,0.0,3.0,1.0,1,0
3.0,2008,Taharua River,1.3,2.7,891.1,96.0,2330.44,1.162,1.0,0,1
3.0,2008,Taharua River,1.3,2.7,891.1,96.0,2330.44,1.162,1.0,0,1
3.0,2008,Te Apiti Stream,1.35,2.96,1228.44,131.38,2337.14,1.479,1.805,1,0
3.0,2008,Waikoau Stream,1.94,1.26,1132.36,109.18,2361.36,1.818,1.818,0,0
4.0,2008,Waikoau Stream,1.94,1.26,1132.36,109.18,2361.36,1.818,1.818,0,0
4.0,2008,Ahuriri Lagoon tributary,2.0,3.0,1373.72,137.67,2376.56,2.0,2.917,4,1
4.0,2008,Ahuriri Lagoon tributary,2.0,3.0,1373.72,137.67,2376.56,2.0,2.917,3,2
4.0,2008,Ahuriri Lagoon tributary,2.0,3.0,1373.72,137.67,2376.56,2.0,2.917,0,0
2.0,2008,Doctors Stream tributary,4.0,1.0,1319.52,126.0,2400.93,4.0,2.0,1,0
10.0,2008,Moutere River tributary,2.65,2.18,1202.15,123.7,2409.15,2.694,1.847,3,0
10.0,2008,Moutere River tributary,2.63,2.19,1203.99,123.69,2407.95,2.705,1.853,4,0
10.0,2008,Moutere River tributary,1.48,2.76,1199.77,122.67,2407.41,1.387,1.194,3,0
10.0,2008,Unnamed stream Waimea Inlet,1.0,4.44,1127.71,115.66,2388.67,1.0,2.961,2,0
10.0,2008,Unnamed stream Waimea Inlet,1.61,3.05,1190.13,124.09,2394.62,1.523,1.694,3,0
11.0,2008,Unnamed stream Waimea Inlet,1.46,3.39,1186.97,123.41,2394.01,1.413,1.968,4,0
10.0,2008,Unnamed stream Waimea Inlet,1.53,3.62,1172.26,123.04,2393.93,1.523,2.461,5,0
10.0,2008,Unnamed stream Waimea Inlet,3.0,2.0,1196.28,125.0,2396.9,3.0,2.0,4,0
11.0,2008,Unnamed stream Waimea Inlet,1.27,2.86,1218.38,123.2,2401.99,1.246,1.123,2,0
11.0,2008,Moutere River tributary,1.0,3.0,1198.08,122.28,2404.98,1.021,1.011,1,0
11.0,2008,Moutere Inlet tributary,2.14,2.43,1204.86,124.91,2409.77,2.088,1.544,4,0
11.0,2008,Moutere Inlet tributary,2.14,2.43,1204.86,124.91,2409.77,2.088,1.544,3,0
11.0,2008,Unnamed stream Waimea Inlet,1.67,2.66,1211.5,124.32,2403.64,1.364,1.182,3,0
11.0,2008,Waimea Inlet tributary,1.67,2.66,1211.5,124.32,2403.64,1.364,1.182,3,0
11.0,2008,Unnamed stream Waimea Inlet,1.0,3.0,1216.39,124.56,2403.5,1.0,1.0,5,1
11.0,2008,Unnamed stream Waimea Inlet,1.49,2.76,1213.29,124.47,2403.73,1.432,1.216,1,0
11.0,2008,Unnamed stream Waimea Inlet,1.61,3.05,1190.13,124.09,2394.62,1.523,1.694,0,0
1.0,2008,Lees Creek,3.34,3.64,1020.17,78.4,2352.72,3.328,1.003,0,1
1.0,2008,Rainbow River tributary,3.27,3.71,950.7,64.67,2348.7,3.237,1.258,1,1
1.0,2008,Rainbow River,2.06,1.91,1086.94,78.89,2361.19,2.931,1.017,0,1
1.0,2008,Judges Creek,3.06,3.94,1083.98,72.29,2364.07,2.97,1.032,0,1
1.0,2008,Wairau River,3.82,3.18,1030.22,65.37,2356.33,3.495,1.454,1,1
1.0,2008,Island Gully,3.34,3.66,1005.69,61.55,2354.33,3.357,1.184,1,1
1.0,2008,Wairau River,4.0,3.0,1086.72,70.32,2364.55,3.237,1.027,1,1
2.0,2008,Ferrer Creek,3.0,2.0,1197.22,125.26,2415.0,3.0,2.0,2,0
3.0,2008,Motupipi River,1.0,2.0,1065.23,127.0,2363.5,1.379,2.138,6,0
3.0,2008,Motupipi River tributary,3.28,3.79,1065.74,125.99,2364.86,3.165,2.362,1,0
3.0,2008,Motupipi River tributary,3.28,3.79,1065.74,125.99,2364.86,3.165,2.362,1,0
3.0,2008,Motupipi River,1.53,2.41,1063.42,126.94,2363.46,1.61,1.332,6,0
3.0,2008,Unnamed stream Wainui Inlet,1.0,3.15,1058.95,127.64,2360.8,1.0,1.0,2,0
3.0,2008,Unnamed stream Wainui Inlet,1.04,4.36,1043.01,124.07,2360.03,1.08,1.027,1,0
3.0,2008,Unnamed stream Wainui Inlet,1.07,2.83,1061.22,126.39,2362.32,1.029,1.01,1,0
3.0,2008,Unnamed stream Wainui Inlet,1.07,2.83,1061.22,126.39,2362.32,1.029,1.01,4,0
3.0,2008,Unnamed stream Wainui Inlet,1.07,2.83,1061.22,126.39,2362.32,1.029,1.01,2,0
3.0,2008,Ellis Creek,3.67,3.48,1062.97,126.7,2362.73,3.697,2.283,5,0
3.0,2008,Ellis Creek,3.67,3.48,1062.97,126.7,2362.73,3.697,2.283,4,0
3.0,2008,Ellis Creek,3.67,3.48,1062.97,126.7,2362.73,3.697,2.283,6,0
3.0,2008,Waikoropupu River tributary,2.34,3.03,1043.35,124.48,2359.72,2.32,2.0,3,0
3.0,2008,Waikoropupu River tributary,2.34,3.03,1043.35,124.48,2359.72,2.32,2.0,2,0
3.0,2008,Motupipi River tributary,2.73,3.26,1065.57,126.82,2364.13,2.491,1.89,4,0
3.0,2008,Motupipi River tributary,1.68,2.23,1067.0,127.0,2364.0,2.996,2.23,6,1
3.0,2008,Ellis Creek,3.67,3.48,1062.97,126.7,2362.73,3.697,2.283,2,0
3.0,2008,Ellis Creek tributary,3.94,2.94,1066.07,127.3,2362.98,3.963,2.0,1,0
3.0,2008,Ellis Creek,3.49,2.49,1068.34,128.0,2362.57,3.559,2.0,3,0
7.0,2008,Mangaroa Stream tributary,4.84,1.04,1028.55,133.0,2333.0,4.651,1.913,1,1
7.0,2008,Kaikura Stream,4.47,1.13,1028.39,132.98,2332.0,4.308,1.829,1,1
7.0,2008,Oroua Stream,5.0,1.0,1029.01,132.99,2332.25,5.0,2.0,1,0
8.0,2008,Ngaere Stream tributary,4.69,1.0,919.71,118.74,2335.84,4.336,2.0,0,1
8.0,2008,Unnamed spring,3.46,1.0,940.54,120.52,2337.42,3.4,2.0,0,0
8.0,2008,Warea River tributary,4.99,1.0,1026.48,133.77,2343.27,4.976,2.008,0,1
2.0,2009,Waikaikai Stream,5.0,1.0,1006.63,129.47,2333.0,5.0,2.0,1,0
2.0,2009,Waikaikai Stream,5.0,1.0,1014.73,130.89,2333.8,5.0,2.0,1,0
2.0,2009,Waikaikai Stream,5.0,1.0,1009.0,130.01,2333.0,5.0,2.0,0,0
2.0,2009,Waimoku Stream,5.0,1.0,1121.18,140.03,2353.2,5.0,2.0,5,0
2.0,2009,Wairau Stream,5.0,1.0,1122.51,140.12,2353.33,5.0,2.0,4,0
4.0,2009,Katikara Stream,5.0,1.0,1097.72,139.5,2350.87,5.0,2.0,4,1
4.0,2009,Katikara Stream,5.0,1.0,1045.24,132.69,2345.46,5.0,2.0,3,0
4.0,2009,Katikara Stream,4.8,1.78,801.73,101.67,2324.58,4.812,2.0,2,0
4.0,2009,Stony River tributary,4.59,2.6,701.51,90.73,2315.51,4.598,2.0,3,0
1.0,2008,Unnamed stream Kenepuru Head,2.0,3.0,1111.28,124.9,2357.78,2.015,1.0,2,0
1.0,2008,Unnamed stream Kenepuru Head,2.05,3.05,1129.95,125.58,2360.38,2.36,1.0,2,0
1.0,2008,Unnamed stream Kenepuru Head,2.77,3.77,1022.33,115.08,2351.47,2.711,1.0,1,0
1.0,2008,Unnamed stream Kenepuru Head,2.42,3.42,1060.82,121.55,2349.49,2.721,1.021,4,0
1.0,2008,Unnamed stream Kenepuru Head,2.83,3.83,941.61,109.84,2338.93,2.716,1.0,0,0
1.0,2008,Unnamed stream Kenepuru Head,2.55,3.55,1056.62,121.0,2351.14,2.585,1.0,3,0
1.0,2008,Unnamed stream Elie Bay,2.57,3.57,1074.87,122.61,2352.94,2.864,1.0,4,0
1.0,2008,Unnamed stream Elie Bay,2.94,3.94,1064.96,122.18,2353.74,2.826,1.0,3,1
1.0,2008,Unnamed stream Elie Bay,3.0,4.0,1064.45,121.13,2351.8,3.0,1.0,4,0
1.0,2008,Unnamed stream Elie Bay,3.0,4.0,1026.05,117.1,2348.41,3.0,1.0,0,0
