river,sdate,fdval
2008,Oreti River,208.3734
2008,Waiau River,86.617
2008,Clutha,43.0287
2008,Matakana River,182.5162
2008,Mahurangi River,214.5724
2008,Waiwera River,311.4785
2008,West Hoe,66.4167
2008,Okura Creek,392.7222
2008,Vaughans,429.7778
2008,Oteha,311.3151
2008,Lucas,325.9981
2008,Opanuku,292.7288
2008,Oakley,1111.7912
2008,Otara Creek,1661.7502
2008,Pakuranga Creek,862.4843
2008,Otaki,1205.1213
2008,Wairoa River,294.6226
2008,Puhinui Creek,506.4568
2008,Ngakaroa,885.7244
2008,Papakura Stream,684.918
2008,Cascade Stream,66.6817
2008,Kumeu River,509.5964
2008,Raukokore River,27.1536
2008,Nukuhou River,327.217
2008,Waimana River,80.6719
2008,Whakatane River,60.7839
2008,Ngongotaha Stream,358.8328
2008,Rangitaiki River,188.1105
2008,Tarawera River,116.3894
2008,Ohau Channel,85.6626
2008,Lake Rotoiti Outlet to Kaituna,58.239
2008,Kaituna River,228.6955
2008,Ngamuwahine Stream,174.4194
2008,Omanawa River,472.0693
2008,Puarenga Stream,331.6026
2008,Haparapara,18.6534
2008,Waioeka River,62.1311
2008,Waimapu River,351.8649
2008,Waimapu,430.095
2008,Uretara Stream,112.2377
2008,Tuapiro Stream,104.8406
2008,Waitao Stream,571.2561
2008,Kopurererua Stream,512.634
2008,Waipapa,122.6029
2008,Te Mania Stream,207.0297
2008,Aongatete River,122.3815
2008,Waiau Stream,232.3029
2008,Omarama Stream,128.7286
2008,Willowburn,221.4029
2008,Sutherlands Creek,266.4536
2008,Hakataramea River,42.7107
2008,Maerewhenua River,65.5464
2008,Otiake River,22.719
2008,Penticotico Stream,467.6107
2008,Maryburn,57.4179
2008,Otematata River,21.4
2008,Wairepo Creek,43.0429
2008,Cattle Creek,47.1536
2008,Deadman Stream,458.5357
2008,Smithfield Creek,1468.1571
2008,Ashburton River,358.9986
2008,Rangitata River,156.5679
2008,Taumatakahu Stream,501.2357
2008,Temuka River,580.8429
2008,Raukapuka Creek,709.975
2008,Waihi River,65.9321
2008,Tengawai River,146.95
2008,Saltwater Creek,282.9804
2008,Boundary Drain,2606.3143
